Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-May-19,59.5,60.2,56.5,57.75,58.28886088,33324,228,1942418,25163,75.51,3.7,-1.75
30-May-19,60.1,61.95,59,59.4,60.09974902,32672,216,1963579,23878,73.08,2.95,-0.7
29-May-19,57.7,62.2,55.6,60.15,60.33003909,109990,652,6635701,66985,60.9,6.6,2.45
28-May-19,59.85,61.5,57,57.7,58.90750333,90933,416,5356636,70926,78,4.5,-2.15
27-May-19,64,67.5,58,59.1,61.85757037,321127,1045,19864136,234235,72.94,9.5,-4.9
24-May-19,62,62.95,58.5,62.15,61.39220163,148467,502,9114716,112563,75.82,4.45,0.15
23-May-19,60.4,63.65,59.5,60,61.42163352,116791,542,7173494,82766,70.87,4.15,-0.4
22-May-19,55.95,62.4,53.4,60.4,58.15389493,200286,741,11647411,150731,75.26,9,4.45
21-May-19,53.85,54.9,53.3,53.8,54.07094433,31419,133,1698855,25127,79.97,1.6,-0.05
20-May-19,53,54.95,52.75,54.45,53.89747505,46496,248,2506017,32703,70.34,2.2,1.45
17-May-19,50.9,52.5,49.7,51.8,51.47214376,42127,184,2168367,34082,80.9,2.8,0.9
16-May-19,51.8,51.8,48.55,50.05,49.73276776,23575,102,1172450,18885,80.11,3.25,-1.75
15-May-19,49.35,50.5,49.25,49.45,49.81703573,15309,111,762649,11694,76.39,1.25,0.1
14-May-19,49.05,49.9,48.9,49.5,49.33508303,10478,99,516933,7315,69.81,1,0.45
13-May-19,51,51,49.6,49.75,50.01450311,13997,112,700053,12417,88.71,1.4,-1.25
10-May-19,52,52,51,51.25,51.25247614,5553,68,284605,3987,71.8,1,-0.75
9-May-19,50.5,52.2,50.5,51,51.29486615,20433,120,1048108,15881,77.72,1.7,0.5
8-May-19,52.2,52.7,51,51.25,51.68175137,31975,161,1652524,23632,73.91,1.7,-0.95
7-May-19,53.35,53.9,50.45,52.35,52.82100104,21218,94,1120756,17815,83.96,3.45,-1
6-May-19,53.1,54.4,53.1,53.95,53.89678333,19057,110,1027111,14837,77.86,1.3,0.85
3-May-19,53.1,53.85,53.05,53.45,53.29605659,13288,110,708198,9840,74.05,0.8,0.35
2-May-19,54,54.25,53,53.3,53.27954931,32395,129,1725991,26165,80.77,1.25,-0.7
30-Apr-19,54.35,54.65,53.1,53.65,53.77879659,20176,589,1085041,14221,70.48,1.55,-0.7
26-Apr-19,54.55,54.95,54.2,54.3,54.42667204,14892,76,810522,12341,82.87,0.75,-0.25
25-Apr-19,55.45,55.45,54.3,54.4,54.71372123,10123,105,553867,7823,77.28,1.15,-1.05
24-Apr-19,54.95,55.85,54.15,55.5,54.71570989,14946,129,817781,10313,69,1.7,0.55
23-Apr-19,55.1,56,54.1,54.75,54.88456396,13462,120,738856,10101,75.03,1.9,-0.35
22-Apr-19,56,56,55.1,55.1,55.31150139,23345,110,1291247,18628,79.79,0.9,-0.9
18-Apr-19,55.7,56.3,55.1,56.05,55.64283862,26999,151,1502301,20659,76.52,1.2,0.35
16-Apr-19,55.55,56.65,55.2,55.7,55.66933616,15109,115,841108,10824,71.64,1.45,0.15
15-Apr-19,54.9,56.7,54.9,55.55,55.97876905,13518,115,756721,11432,84.57,1.8,0.65
12-Apr-19,56,56.05,55,55.75,55.3591838,31953,149,1768892,22874,71.59,1.05,-0.25
11-Apr-19,55.5,56.1,55,55.15,55.40089492,20337,149,1126688,11451,56.31,1.1,-0.35
10-Apr-19,56,56.8,55.15,56.05,55.92418462,18611,121,1040805,14248,76.56,1.65,0.05
9-Apr-19,56.5,57.3,55.75,56.2,56.26508218,21416,112,1204973,17133,80,1.55,-0.3
8-Apr-19,57.2,57.6,56.1,57,57.0672,14375,113,820341,11586,80.6,1.5,-0.2
5-Apr-19,57,58,56.6,57.1,57.17004283,29422,145,1682057,22562,76.68,1.4,0.1
4-Apr-19,56.5,57.5,55,56.6,56.72780055,11712,78,664396,10289,87.85,2.5,0.1
3-Apr-19,56.5,58,56.4,56.95,57.36195298,42069,179,2413160,32929,78.27,1.6,0.45
2-Apr-19,57.4,57.4,56,56.35,56.52216998,25733,141,1454485,18203,70.74,1.4,-1.05
1-Apr-19,55.9,57.8,54.65,56,56.39374891,40089,210,2260769,29451,73.46,3.15,0.1
29-Mar-19,53.65,55.2,53.65,54.65,54.79894295,41436,154,2270649,36896,89.04,1.55,1
28-Mar-19,55.7,55.7,54.2,54.8,54.87866339,38216,158,2097243,25415,66.5,1.5,-0.9
